identificador,nome,miniatura,resumo,disciplina,ano,descritores,linkdown,visualizar,tema,origem,autores,idioma,data
53,A loja da dona raposa,recursos/img/Portugues/alojadadonaraposa.png,"O recurso “A loja da dona raposa” é um conto infantil narrado, da Coleção Dó-ré-mi-fá, que apresenta o diálogo de Dona Raposa e de Dona Onça Pintada. A primeira é dona de uma loja na floresta que está prestes a fechar, pois já não aguenta mais as encomendas confusas da bicharada;e a outra usa de diversos argumentos para convencê-la a continuar com a loja.",Portugues,3,DPI01;DPI07,recursos/recurso/portugues/3/alojadadonaraposa.rar,recursos/recurso/portugues/3/alojadadonaraposa.mp3,Linguagem oral;Linguagem escrita;Gênero Narrativo;Conto Infantil.,Portal do Professor,,Português,2010
54,Ditos populares [Sua Língua],recursos/img/Portugues/ditospopularessualingua.png,"O recurso ""Ditos populares [Sua língua]” é um episódio do Programa Sua Língua, da TV Escola, e apresenta os significados e o uso dos ditos populares, fomentando uma reflexão sobre a língua materna.",Portugues,4,DPI01;DPI03;DPI07;DPI10;DPI13,recursos/recurso/portugues/4/ditospopularessualingua.rar,recursos/recurso/portugues/4/ditospopularessualingua.wmv,Análise e reflexão sobre a língua;Significados e usos dos ditos populares.,Portal do Professor,,Português,2009
55,Primeiras palavras [Sua língua],recursos/img/Portugues/primeiraspalavras.png,"O recurso “Primeiras palavras [Sua língua]” é um episódio do Programa Sua Língua, da TV Escola, e apresenta uma reflexão sobre a história das palavras e os seus significados, mostrando como elas passam a fazer parte da linguagem cotidiana das pessoas.",Portugues,4,DPI01;DPI03;DPI04,recursos/recurso/portugues/4/primeiraspalavrassualingua.rar,recursos/recurso/portugues/4/primeiraspalavrassualingua.wmv,História das palavras;Análise e reflexão sobre a língua;Língua oral: Usos e formas.,Portal do Professor,,Português,2009
56,Adjetivo [Sua Língua],recursos/img/Portugues/adjetivossualingua.png,"O recurso “Adjetivo [Sua língua]” é um episódio do Programa Sua Língua, da TV Escola, e apresenta uma abordagem sobre o uso e as formas dos adjetivos na Língua Portuguesa.",Portugues,4,DPI01;DPI12;DPII19,recursos/recurso/portugues/4/adjetivosualingua.rar,recursos/recurso/portugues/4/adjetivosualingua.wmv,Aspectos gramaticais;Usos e formas dos adjetivos.,Portal do Professor,,Português,2009
57,Futebol [Sua Língua],recursos/img/Portugues/futebolsualingua.png,"O recurso “Futebol [Sua língua]” é um episódio do Programa Sua Língua, da TV Escola, e apresenta uma reflexão sobre o jogo de futebol e a contribuição deste esporte para a Língua Portuguesa.",Portugues,4,DPI01;DPI12;DPII19,recursos/recurso/portugues/4/futebolsualingua.rar,recursos/recurso/portugues/4/futebolsualingua.wmv,Análise e reflexão sobre a língua;Reflexão sobre o jogo futebol.,Portal do Professor,,Português,2009
58,Quem não se comunica ... [Sua Língua],recursos/img/Portugues/quemnaosecomunica.png,"O recurso “Quem não se comunica [Sua Língua]” é um episódio do Programa Sua Língua, da TV Escola, e apresenta uma reflexão sobre o surgimento de novas palavras na Língua Portuguesa, utilizando um texto literário para exemplificar como elas são inventadas e como passam a fazer parte da linguagem cotidiana das pessoas.",Portugues,4,DPI01;DPI03;DPI07;DPI10;DPI12,recursos/recurso/portugues/4/quemnaosecomunicasualingua.rar,recursos/recurso/portugues/4/quemnaosecomunicasualingua.wmv,Surgimento de novas palavras na Língua Portuguesa;Texto literário;Linguagem.,Portal do Professor,,Português,2009
59,Monteiro Lobato,recursos/img/Portugues/monteirolobato.png,"O recurso “Monteiro Lobato” é um vídeo do Programete Mais Educação que apresenta uma breve biografia do autor Monteiro Lobato, destacando o início de sua carreira e suas principais obras.",Portugues,4,DPI01;DPI07;DPI09,recursos/recurso/portugues/4/monteirolobato.rar,recursos/recurso/portugues/4/monteirolobato.mpeg,Língua oral e escrita;Prática de escuta e de leitura de textos;Biografia e obras de Monteiro Lobato.,Portal do Professor,,Português,2008
60,Ruth Rocha,recursos/img/Portugues/ruthrocha.png,"O recurso “Ruth Rocha” é um vídeo do Programete Mais Educação que apresenta uma breve biografia da autora Ruth Rocha, destacando o início de sua carreira e suas principais obras.",Portugues,4,DPI01;DPI07;DPI09,recursos/recurso/portugues/4/ruthrocha.rar,recursos/recurso/portugues/4/ruthrocha.mpeg,Língua oral e escrita;Prática de escuta e de leitura de textos;Biografia e obras de Ruth Rocha.,Portal do Professor,,Português,2008
61,Mexerica- arrepio,recursos/img/Portugues/mexericaarrepio.png,"O recurso “Mexerica-arrepio” é um episódio do Programa Orto e Grafia, apresentado pela TV Escola, e utiliza o teatro de bonecos para ensinar a grafia correta de algumas palavras como, arrepiada, prevenir, privilégio, mexerica, empecilho, despender, calcário e invólucro.",Portugues,4,DPI01;DPI03;DPII19,recursos/recurso/portugues/4/mexericaarrepio.rar,recursos/recurso/portugues/4/mexericaarrepio.wmv,Fonética e fonologia;Ensino da grafia correta das palavras.,Portal do Professor,,Português,2008
62,Fábulas,recursos/img/Portugues/fabulas.png,"O recurso “Fábulas” trabalha com o gênero fábula e suas principais características, a partir da construção autoral de uma fábula, buscando, assim, dar ênfase aos processos de criação e de imaginação",Portugues,4,DI02;DI05;DI06;DI07;DI08;DI09;DI10;DI14;DII18;DII19,recursos/recurso/portugues/4/fabulas.zip,recursos/recurso/portugues/4/fabulas.swf,Gênero textual fábula;Construção de fábulas;Usos e formas da linguagem.,PROATIVA,,Português,Desconhecida
63,Fábrica de Tirinhas,recursos/img/Portugues/fabricadetirinhas.png,"O recurso “Fábrica de Tirinhas” trabalha com a criação de tirinhas, a partir da construção autoral com o uso de cenários, personagens, objetos e  balões de diálogos, dando ênfase à criatividade e à imaginação.",Portugues,4,DI02;DI05;DI06;DI07;DI08;DI09;DI10;DI14;DII18;DII19,recursos/recurso/portugues/4/fabricadetirinhas.zip,recursos/recurso/portugues/4/fabricadetirinhas.swf,Criação de tirinhas;Gêneros textuais;Usos e formas da linguagem.,PROATIVA,,Português,Desconhecida
64,Língua Solta,recursos/img/Portugues/linnguasolta.png,"O recurso ""Por uma vírgula"" busca estimular a percepção dos alunos em relação ao reconhecimento dos substantivos compostos ligados por hífen, bem como a formação do plural dessas palavras.",Portugues,4,DPI01;DPI02;DPI03;DPI04;DPI05;DPI14;DPII18;DPII19,recursos/recurso/portugues/4/linguasolta.rar,recursos/recurso/portugues/4/linguasolta.swf,Uso do hífen;Aspectos gramaticais,RIVED,,Português,2008
65,Ortografia,recursos/img/Portugues/ortografia.png,"O recurso ""Ortografia"" busca trabalhar questões relativas à ortografia, bem como as relações sociopragmáticas e discursivas da língua.",Portugues,4,DPI01;DPI04;DPI07;DPI08;DPII18,recursos/recurso/portugues/4/ortografia.rar,recursos/recurso/portugues/4/ortografia/iniciar.html,Ortografia;Relações sociopragmáticas e discursivas,Portal do Professor,,Português,2011
66,Imagens do Brasil: Antônimos,recursos/img/Portugues/imagensdobrasilantonimos.png,"O recurso ""Imagens do Brasil: Antônimos"" procura sensibilizar o usuário para questões relativas à importância do estudo dos antônimos na escrita de textos e sobre as relações sociopragmáticas e discursivas, além dos recursos linguísticos em uso.",Portugues,4,DPI02;DPI03;DPI04;DPI07;DPI08;DPII18,recursos/recurso/portugues/4/imagensdobrasilantonimos.rar,recursos/recurso/portugues/4/imagensdobrasilantonimos/inicio.html,Estudo dos antônimos;Relações sociopragmáticas e discursivas;Recursos linguísticos,Portal do Professor,,Português,2011
67,Vozes da cidade: Deslizes,recursos/img/Portugues/vozesdacidadedeslizes.png,"O recurso ""Vozes da cidade: Deslizes"" traz em seu bojo a importância da revisão de textos, por meio de personagens que apresentam a reorganização para uma correta escrita.",Portugues,4,DPI01;DPI02;DPI03;DPI04;DPI06;DPI10;DPI11;DPII16;DPII18,recursos/recurso/portugues/4/vozesdacidadedeslizes.rar,recursos/recurso/portugues/4/vozesdacidadedeslizes/iniciar.html,Escrita;Revisão de textos,Portal do Professor,,Português,2011
68,Jogo Ler é Preciso,recursos/img/Portugues/jogolerepreciso.png,"O recurso ""Jogo ler é preciso"" busca fazer com que o aluno aumente seu vocabulário de forma interativa e contextualizada, através de uma árvore formada por letras, palavras e definições.",Portugues,4,DPI03;DPI04;DPI11,recursos/recurso/portugues/4/jogolerepreciso.rar,recursos/recurso/portugues/4/jogolerepreciso.swf,Vocabulário;Práticas de leitura,Portal do Professor,,Português,2009
69,Chiclete,recursos/img/Portugues/chiclete.png,"O recurso “Chiclete” é um episódio do programa Orto e Grafia, apresentado pela TV Escola, e utiliza o teatro de bonecos para o ensino da grafia correta de algumas palavras grafadas com -x e com -ch.",Portugues,4,DPI01;DPI03;DPII19,recursos/recurso/portugues/4/chiclete.rar,recursos/recurso/portugues/4/chiclete.rar,Ensino da grafia de palavras com -x e -ch,Portal do Professor,,Português,2008
70,Ferrugem,recursos/img/Portugues/ferrugem.png,"O recurso “Ferrugem” é um episódio do programa Orto e Grafia, apresentado pela TV Escola, e busca utilizar o teatro de bonecos para o ensino da grafia correta de algumas palavras grafadas com -g e com -j.",Portugues,4,DPI01;DPI03;DPII19,recursos/recurso/portugues/4/ferrugem.rar,recursos/recurso/portugues/4/ferrugem.rar,Grafia correta de palavras com -g e -j,Portal do Professor,,Português,2008
71,Arte-harpa,recursos/img/Portugues/arteharpa.png,"O recurso “Arte-harpa” é um episódio do Programa Orto e Grafia, apresentado pela TV Escola, e utiliza o teatro de bonecos para ensinar a grafia correta de algumas palavras como, arpão, arame, harmonia, arte, haste e harmônica.",Portugues,4,DPI01;DPI03;DPII19,recursos/recurso/portugues/4/arteharpa.rar,recursos/recurso/portugues/4/arteharpa.rar,Fonética;Fonologia,Portal do Professor,,Português,2008
72,Gíria,recursos/img/Portugues/giria.png,O recurso “Gíria” trata-se de um vídeo do programa Mais Educação e apresenta a definição de gíria e a forma como essa linguagem é utilizada.,Portugues,4,DPI01;DPI03;DPI10,recursos/recurso/portugues/4/giria.rar,recursos/recurso/portugues/4/giria.rar,Gíria;Utilização de gírias,Portal do Professor,,Português,2008
73,Expressões [Sua língua],recursos/img/Portugues/giria.png,"O recurso “Expressões"" apresenta o significado do que são expressões populares de maneira agradável e interessante, além de possíveis dúvidas quanto à escrita de palavras que utilizam o -m e -n, entre outras.",Portugues,4,DPI01;DPI03;DPI07;DPI12;DPI14,recursos/recurso/portugues/4/expressoessualingua.rar,recursos/recurso/portugues/4/expressoessualingua.rar,Expressões populares,Portal do Professor,,Português,2009
74,Vídeo Sobre Carta,recursos/img/Portugues/videosobrecarta.png,O recurso “Vídeo sobre carta” é um vídeo que busca explorar os recursos de construção da textualidade na carta argumentativa.,Portugues,5,DPI09;DPII12,recursos/recurso/portugues/5/videosobrecarta.rar,recursos/recurso/portugues/5/videosobrecarta/Video_sobre_carta.wmv,Estudo sobre o gênero textual carta;Construção da textualidade na carta argumentativa.,Portal do Professor,,Português,2011
75,Ortografia: palavras com sc [Orto e grafia],recursos/img/Portugues/ortografiapalavrascomsc.png,"O recurso “Ortografia: palavras com sc [Orto e grafia]” é um episódio do Programa Orto e Grafia, da TV Escola, e apresenta a ortografia de palavras que possuem -sc, como “piscina”, “adolescência” e “crescendo”.",Portugues,5,DP01;DPI03;DPI07;DPII19,recursos/recurso/portugues/5/ortografiapalavrascomsc.rar,recursos/recurso/portugues/5/ortografiapalavrascomsc.wmv,Grafia correta de palavras escritas com -sc;Aspectos gramaticais;Linguagem escrita.,BIOE,,Português,2008
76,Nós e eles [Orto e Grafia],recursos/img/Portugues/noseelesortoegrafia.png,"O recurso “Nós e eles [Orto e grafia]” é um episódio do Programa Orto e Grafia, apresentado pela TV Escola, e utiliza o teatro de bonecos para ensinar o processo de formação de palavras e conjugação de verbos.",Portugues,5,DPI01;DPI03;DPI07;DPI12;DPI12;DPI14;DPII19,recursos/recurso/portugues/5/noseeles.rar,recursos/recurso/portugues/5/noseeles.wmv,Formação de palavras;Conjugação de verbos.,BIOE,,Português,2008
77,Cedilha;dois pontos [Sua língua],recursos/img/Portugues/cedilhadoispontos.png,"O recurso “Cedilha;dois pontos” é um episódio do Programa Sua Língua, da TV Escola, e apresenta de maneira simples o uso do cedilha, dos dois pontos e dos pronomes demonstrativos: este, esta, esse e esta.",Portugues,5,DPI01;DPI03;DPI07;DPI14,recursos/recurso/portugues/5/cedilhadoispontossualingua.rar,recursos/recurso/portugues/5/cedilhadoispontossualingua.wmv,Aspectos gramaticais;Pronomes demonstrativos;Uso do cedilha.,Portal do Professor,,Português,2009
78,Português claro [Sua língua],recursos/img/Portugues/portuguesclaro.png,"O recurso “Português claro [Sua língua]” é um episódio do Programa Sua língua, da TV Escola, e apresenta as ambiguidades presentes em textos jornalísticos que provocam a incompreensão dos alunos. Além disso, esse vídeo mostra a respectiva adequação desse gênero textual para um melhor entendimento, mostrando a maneira mais clara e objetiva de escrever o enunciado das frases jornalísticas.",Portugues,5,DPI01;DPI03;DPI04;DPI05;DPI07;DPI10;DPI13,recursos/recurso/portugues/5/portuguesclarosualingua.rar,recursos/recurso/portugues/5/portuguesclarosualingua.wmv,Textos jornalísticos;Prática de leitura;Ambiguidade.,Portal do Professor,,Português,2009
79,Aquele ou este,recursos/img/Portugues/aqueleoueste.png,"O recurso “Aquele ou este” é um vídeo do Programete Mais Educação que apresenta as regras para utilização dos termos ""aquele"" e ""este"" em seu contexto correto, através de um formato mais dinâmico e contextualizado.",Portugues,5,DPI01;DPI12;DPII19,recursos/recurso/portugues/5/aqueleoueste.rar,recursos/recurso/portugues/5/aqueleoueste.mpeg,Pronomes demonstrativos;Linguagem oral e escrita.,Portal do Professor,,Português,2008
80,Pode e pôde,recursos/img/Portugues/podeepode.png,"O recurso “Pode e pôde” é um vídeo do Programete Mais Educação que apresenta as regras para utilização do “pôde” e “pode” em seu contexto correto, através de um formato mais dinâmico e contextualizado.",Portugues,5,DPI01;DPI03;DPI14;DPII19,recursos/recurso/portugues/5/podeepode.rar,recursos/recurso/portugues/5/podeepode.mpeg,Diferença de uso entre as palavras pode e pôde;Linguagem oral e escrita.,Portal do Professor,,Português,2008
81,Seção ou sessão,recursos/img/Portugues/secaoousessao.png,"O recurso “Seção ou sessão” é um vídeo do Programete Mais Educação que apresenta as regras para utilização das palavras “sessão” e “seção” em seu contexto correto, através de um formato mais dinâmico e contextualizado.",Portugues,5,DPI01;DPI03;DPI14;DPII19,recursos/recurso/portugues/5/secaoousessao.rar,recursos/recurso/portugues/5/secaoousessao.mpeg,Diferença de uso entre as palavras seção e sessão;Língua escrita.,Portal do Professor,,Português,2008
82,Há ou a,recursos/img/Portugues/haoua.png,"O recurso “Há ou a” é um vídeo do Programete Mais Educação que apresenta as regras para utilização das palavras “há” e “a” em seu contexto correto, através de um formato mais dinâmico e contextualizado.",Portugues,5,DPI01;DPI03;DPI14;DPII19,recursos/recurso/portugues/5/haoua.rar,recursos/recurso/portugues/5/haoua.mpeg,Língua escrita: usos e formas;Diferenças de uso entre as palavras há e a.,Portal do Professor,,Português,2008
83,Mal ou mau,recursos/img/Portugues/maloumau.png,"O recurso “Mau ou mal” é um vídeo do Programete Mais Educação que apresenta o uso das palavras “mau” e “mal” em seu contexto adequado, através de um formato mais dinâmico e contextualizado.",Portugues,5,DPI01;DPI03;DPI07;DPI12;DPI14;DPII19,recursos/recurso/portugues/5/malmauortoegrafia.rar,recursos/recurso/portugues/5/malmauortoegrafia.wmv,Língua escrita: usos e formas;Diferenças de uso entre as palavras mau e mal.,Portal do Professor,,Português,2008
84,Por uma vírgula,recursos/img/Portugues/porumavirgula.png,"O recurso ""Por uma vírgula"" objetiva a reflexão sobre a importância do bom uso da pontuação e os efeitos de sentido atribuídos aos diferentes tipos de pontuação.",Portugues,5,DPI14;DPII17,recursos/recurso/portugues/5/porumavirgula.rar,recursos/recurso/portugues/5/porumavirgula.swf,Sinais de pontuação;Efeitos de sentido,PROATIVA,,Português,Desconhecida
85,Quem ri seus males espanta,recursos/img/Portugues/quemriseusmalesespanta.png,"O recurso ""Quem ri seus males espanta"" busca trabalhar a percepção de que os textos são opacos e não são “codificados”, exigindo um trabalho de interpretação por parte do leitor.",Portugues,5,DPI01;DPI03;DPI04;DPI07;DPI08;DPI13,recursos/recurso/portugues/5/quemriseusmalesespantapiadas2ano.rar,recursos/recurso/portugues/5/quemriseusmalesespantapiadas2ano/clique-me.html,Interpretação textual,Portal do Professor,,Português,2012
86,Perigosas semelhanças,recursos/img/Portugues/perigosassemelhancas.png,O recurso “Perigosas semelhanças” apresenta as palavras homônimas e as palavras parônimas a partir de uma animação contextualizada.,Portugues,5,DPI01;DPI02;DPI03,recursos/recurso/portugues/5/perigosassemelhancas.rar,recursos/recurso/portugues/5/perigosassemelhancas.swf,Palavras homônimas e parônimas,RIVED,,Português,Desconhecida
87,Quadrinhos: O bidialetalismo nas histórias de gibi,recursos/img/Portugues/quadrinhos.png,"O recurso “Quadrinhos: O bidialetalismo nas histórias de gibi” apresenta alguns dos vários tipos de dialetos existentes na Língua Portuguesa falada no Brasil, a partir de histórias com uma personagem em diferentes regiões brasileiras.",Portugues,5,DPI01;DPI02;DPI03;DPI07;DPI10;DPI14,recursos/recurso/portugues/5/quadrinhosobidialetalismonashistoriasdegibi.rar,recursos/recurso/portugues/5/quadrinhosobidialetalismonashistoriasdegibi/stage.swf,Produção textual;Formas de linguagem,Portal do Professor,,Português,2010
88,Vozes da cidade: Sexta e cesta,recursos/img/Portugues/sextacesta.png,O recurso “Vozes da cidade: Sexta e cesta” envolve reflexões sobre a importância da ortografia e da crase para a interpretação de textos escritos.,Portugues,5,DPI02;DPI03;DPI07;DPI18;DPI19,recursos/recurso/portugues/5/vozesdacidadesextaecesta.rar,recursos/recurso/portugues/5/vozesdacidadesextaecesta/iniciar.html,Ortografia;Crase;Interpretação de textos,Portal do Professor,,Português,2010
89,Co-escritor,recursos/img/Portugues/coescritor.png,"O recurso ""Co-escritor"" é um episódio do Programa Orto e Grafia, apresentado pela TV Escola, e apresenta um pouco sobre a fonética e a fonologia de algumas palavras da Língua Portuguesa.",Portugues,5,DPI01;DPI03;DPI07;DPI14;DPII19,recursos/recurso/portugues/5/coescritor.rar,recursos/recurso/portugues/5/coescritor.rar,Gírias;Jargões,Portal do Professor,,Português,2011
90,Mal-mau [Orto e grafia],recursos/img/Portugues/malmau.png,"O recurso “Mal-mau [Orto e grafia]” apresenta um episódio do Programa Orto e Grafia e tem como objetivo ensinar o uso escrito e falado das palavras mau, má, mal e derivadas destas.",Portugues,5,DPI01;DPI03;DPI07;DPI12;DPI14;DPII19,recursos/recurso/portugues/5/malmauortoegrafia.rar,recursos/recurso/portugues/5/malmauortoegrafia.rar,"Palavras mau, má, mal e derivadas",Portal do Professor,,Português,2007
91,Mas e mais,recursos/img/Portugues/maisemas.png,"O recurso “Mas e mais” trata-se de um vídeo do Programa Mais Educação e apresenta as regras para utilização de palavras no contexto correto, fazendo uso de exemplos e analogias.",Portugues,5,DPI01;DPII18,recursos/recurso/portugues/5/maisemas.rar,recursos/recurso/portugues/5/maisemas.rar,Uso correto do mas e mais,Portal do Professor,,Português,2008
92,Ver e vir [Orto e Grafia],recursos/img/Portugues/verevir.png,"O recurso “Ver e vir"" trata-se de um episódio do Programa Orto e Grafia, da TV Escola, e apresenta a construção de frases e concordância verbal.",Portugues,5,DPI01;DPI03;DPII19,recursos/recurso/portugues/5/verevirortoegrafia.rar,recursos/recurso/portugues/5/verevirortoegrafia.rar,Construção de frases;Concordância verbal,Portal do Professor,,Português,2008
93,Vanguarda,recursos/img/Portugues/vanguardas.png,"O recurso ""Vanguarda"" apresenta os movimentos artísticos e literários da Vanguarda Europeia, através de seus artistas e de suas obras.",Portugues,6,DPII01;DPII05;DPII06,recursos/recurso/portugues/6/vanguardas.rar,recursos/recurso/portugues/6/vanguardas.swf,Vanguarda Europeia. Literatura. Arte.,Rede Interativa Virtual de Educação (RIVED),Grupo RIVED Unifra,Português,Desconhecida
94,Português popular,recursos/img/Portugues/portuguespopular.png,"O recurso ""Português Popular"" aborda palavras e expressões usadas no português popular e as suas formas correspondentes utilizadas na variedade padrão da língua.",Portugues,6,DPII03;DPII04;DPII18;DPII19,recursos/recurso/portugues/6/portuguespopular.rar,recursos/recurso/portugues/6/portuguespopular/clique-me.html,Português popular. Palavras. Expressões,Portal do Professor,Vandersí Sant’Ana Castro. Projeto Condigital MEC - MCT. Ana Raquel Mota. Jully Liebl. Luana Mercúrio. Tania Maria Alkmim. Universidade Estadual de Campinas - UNICAMP - Português. Lilian do Rocio Borba.,Português,2011
95,Gírias idosas,recursos/img/Portugues/giriasidosas.png,"O recurso ""Gírias idosas"" busca apresentar o funcionamento e o uso de gírias em situações comunicacionais.",Portugues,6,DPII03;DPII04;DPII18;DPII19,recursos/recurso/portugues/6/giriasidosas.rar,recursos/recurso/portugues/6/giriasidosas/clique-me.html,Gírias. Utilização. Comunicação.,Portal do Professor,Maria Angélica Cianciulli. Projeto Condigital MEC - MCT. Eduardo R. J. Guimarães. Universidade Estadual de Campinas - UNICAMP - Português,Português,2011
96,Memórias Póstumas de Brás Cubas [Livro-trailer],recursos/img/Portugues/memoriasbrascubas.png,"O recurso ""Memórias póstumas de Brás Cubas"" é um trailer animado da obra ""Memórias póstumas de Brás Cubas"", do escritor Machado de Assis. O trailer mostra trechos e informações sobre a seguinte obra literária, buscando despertar a curiosidade dos leitores.",Portugues,6,DPII04;DPII06;DPII10,recursos/recurso/portugues/6/memoriasbrascubas.rar,recursos/recurso/portugues/6/memoriasbrascubas.rar,Literatura brasileira. Obra literária. Memórias Póstumas de Brás Cubas. Machado de Assis.,Portal do Professor,Paraná. Secretaria de educação. TV Paulo Freire,Português,2010
97,Imagens do Brasil: Brasão,recursos/img/Portugues/brasao.png,"O recurso ""Imagens do Brasil: Brasão"" trabalha com questões relativas à importância das condições de produção para a interpretação de enunciados.",Portugues,6,DPII03;DPII04;DPII18,recursos/recurso/portugues/6/imagensdobrasilbrasao.rar,recursos/recurso/portugues/6/imagensdobrasilbrasao/inicio.html,Enunciados. Interpretação. Escrita de textos.,Portal do Professor,Suzy Lagazzi. Projeto Condigital MEC - MCT. Cássia Cristina Furlan. A. D. Leite. Universidade Estadual de Campinas - UNICAMP - Português. Carmen Zink Bolonhini.,Português,2011
98,Imagens do Brasil: Plantas e folhas,recursos/img/Portugues/imagensefolhas.png,"O recurso ""Imagens do Brasil: Plantas e folhas"" busca trabalhar com questões relativas à importância das condições de produção para a interpretação de enunciados.",Portugues,6,DPII03;DPII04;DPII18,recursos/recurso/portugues/6/plantasefolhas.rar,recursos/recurso/portugues/6/plantasefolhas/inicio.html,Enunciados. Interpretação. Escrita de textos.,Portal do Professor,Suzy Lagazzi. Projeto Condigital MEC - MCT. Cássia Cristina Furlan. Mariana Ap. J. Haeitmann. Universidade Estadual de Campinas - UNICAMP - Português. Carmen Zink Bolonhini.,Português,2009
99,Imagens do Brasil: Artes e Escrita,recursos/img/Portugues/arteseescrita.png,"O recurso ""Imagens do Brasil: Artes e escrita"" apresenta as regras específicas para a escrita, mostrando que esta se distingue da fala.",Portugues,6,DPII03;DPII04;DPII17;DPII18;DPII19,recursos/recurso/portugues/6/imagensdobrasilarteseescrita.rar,recursos/recurso/portugues/6/imagensdobrasilarteseescrita/iniciar.html,Linguagem escrita. Linguagem oral. Funcionamento.,Portal do Professor,Suzy Lagazzi. Cássia Cristina Furlan. Gissele Bonafé Costa. Carolina Padilha Fedatto. Joice Mensato. Carmen Zink Bolonhini. Alan Febraio Parma. Projeto Condigital MEC - MCT. Cristiane Maria Megid. Universidade Estadual de Campinas - UNICAMP - Português.,Português,2011
100,Perdidos e separados,recursos/img/Portugues/perdidoseseparados.png,"O recurso ""Perdidos e separados"" trabalha com o reconhecimento e a compreensão de diferentes formas de funcionamento da linguagem. Além disso, o recurso também aborda a identificação de classes de palavras, relações entre elas e a distinção entre a linguagem oral e escrita em diferentes situações.",Portugues,6,DPII03;DPII04;DPII18;DPII19,recursos/recurso/portugues/6/perdidoseseparados.rar,recursos/recurso/portugues/6/perdidoseseparados/clique-me.html,Linguagem oral. Linguagem escrita. Funcionamento.,Portal do Professor,Projeto Condigital MEC - MCT. Universidade Estadual de Campinas - UNICAMP - Português.,Português,2011
101,Sinistro: Livro na estante,recursos/img/Portugues/livronaestante.png,"O recurso ""Sinistro: Livro na estante"" apresenta o funcionamento das bibliotecas e algumas de suas histórias.",Portugues,6,DPII04;DPII18,recursos/recurso/portugues/6/livronaestante.rar,recursos/recurso/portugues/6/livronaestante/index.html,Análise. Reflexão. Linguagem. Bibliotecas.,Portal do Professor,Suzy Lagazzi. Projeto Condigital MEC - MCT. Universidade Estadual de Campinas - UNICAMP - Português. Carmen Zink Bolonhini. Ana Carolina Sotratto.,Português,2011
102,A Língua Portuguesa nos tempos de Getúlio Vargas: Jóia!,recursos/img/Portugues/joia.png,"O recurso ""A Língua Portuguesa nos tempos de Getúlio Vargas: Jóia!"" trabalha com a produção, a leitura, a análise e a reflexão sobre as linguagens e as relações sociopragmáticas e discursivas da língua.",Portugues,6,DPII03;DPII04;DPII18;DPII19,recursos/recurso/portugues/6/joia.rar,recursos/recurso/portugues/6/getuliovargas/cacapalavras/index.html,Análise. Reflexão. Linguagem,Portal do Professor,Suzy Lagazzi. Projeto Condigital MEC - MCT. Raquel Mascarenhas de Souza Meirelles. Universidade Estadual de Campinas - UNICAMP - Português. Carmen Zink Bolonhini.,Português,2011
103,A Língua Portuguesa nos tempos de Getúlio Vargas: como era antes?,recursos/img/Portugues/alinguaportuguesanostemposdegetuliovargascomoeraantes.png,"O recurso “A Língua Portuguesa nos tempos de Getúlio Vargas: como era antes?” trabalha com questões relativas à história e aos sentidos das palavras, trazendo como suporte teórico, textos de apoio e um caça-palavras.",Portugues,6,DPII03;DPII04;DPII18;DPII19,recursos/recurso/portugues/6/alinguaportuguesanostemposdegetuliovargascomoeraantes.rar,recursos/recurso/portugues/6/alinguaportuguesanostemposdegetuliovargascomoeraantes/P/clique-me.html,Linguagem. Sentido das palavras. Reflexão. Leitura.,Portal do Professor,Suzy Lagazzi. Projeto Condigital MEC - MCT. Universidade Estadual de Campinas - UNICAMP - Português. Cristiane Maria Megid. Carmen Zink Bolonhini.,Português,2011
104,A Língua Portuguesa nos tempos de Getúlio Vargas: Jogo dos jogos,recursos/img/Portugues/alinguaportuguesanostemposdegetuliovargasjogodosjogos.png,"O recurso “A Língua Portuguesa nos tempos de Getúlio Vargas: Jogo dos jogos” trabalha a leitura e a interpretação de textos, buscando estimular uma reflexão sobre a linguagem.",Portugues,6,DPII04;DPII05;DPII06;DPII10;DPII18,recursos/recurso/portugues/6/alinguaportuguesanostemposdegetuliovargasjogodosjogos.rar,recursos/recurso/portugues/6/alinguaportuguesanostemposdegetuliovargasjogodosjogos/Software/inicio.html,Leitura. Interpretação. Linguagem.,Portal do Professor,Projeto Condigital MEC - MCT. Universidade Estadual de  Campinas - UNICAMP - Português.,Português,2011
105,A Língua Portuguesa nos tempos de Getúlio Vargas: João Canhoto,recursos/img/Portugues/alinguaportuguesanostemposdegetuliovargasjoaocanhoto.png,O recurso “A Língua Portuguesa nos tempos de Getúlio Vargas: João Canhoto” trabalha a interpretação e a produção de sentidos nos textos escritos.,Portugues,6,DPII03;DPII04;DPII06;DPII18,recursos/recurso/portugues/6/alinguaportuguesanostemposdegetuliovargasjoaocanhoto.rar,recursos/recurso/portugues/6/alinguaportuguesanostemposdegetuliovargasjoaocanhoto/Software/inicio.html,Leitura. Interpretação. Reflexão sobre linguagens.,Portal do Professor,Projeto Condigital MEC - MCT. Universidade Estadual de Campinas - UNICAMP -Português.,Português,2011
